feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,feature10,feature11,feature12,feature13,feature14,feature15,feature16,feature17,feature18,feature19,feature20,feature21,feature22,feature23,feature24,feature25,feature26,feature27,feature28,feature29,feature30,feature31,feature32,feature33,feature34,feature35,feature36,feature37,feature38,feature39,feature40,feature41,label_model,prob
0.739106,tcp,-,FIN,10.0,8.0,1702.0,354.0,62.0,252.0,16582.19531,3355.405029,2.0,1.0,79.750889,95.927711,5033.43732,147.485109,255.0,1727533115.0,890331862.0,255.0,0.145934,0.067605,0.078329,170.0,44.0,0.0,0.0,1.0,1.0,3.0,1.0,1.0,5.0,0.0,0.0,0.0,1.0,5.0,0.0,1,0.8579735413300049
1.035032,tcp,,FIN,10.0,8.0,564.0,354.0,254.0,252.0,3926.448486,2396.061035,2.0,1.0,114.899,127.612,6902.606391,175.549219,255.0,4057719093.0,2004871230.0,255.0,0.222879,0.14174,0.081139,56.0,44.0,0.0,0.0,7.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,1,0.9987625254678096
0.0,arp,,INT,1.0,0.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0.999877482586062
1.643555,tcp,-,FIN,12.0,10.0,1110.0,848.0,254.0,252.0,4955.112305,3718.768066,3.0,2.0,144.242358,171.509,8440.737877,264.297937,255.0,1263170813.0,2820256737.0,255.0,0.191842,0.099969,0.091873,93.0,85.0,0.0,0.0,4.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,2.0,0.0,1,0.8399319251736695
5e-06,,,unknown,2.0,0.0,168.0,0.0,254.0,0.0,134400000.0,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.0,0.0,0.0,0.0,7.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,1,0.999853491806022
0.934247,tcp,-,FIN,10.0,8.0,588.0,354.0,254.0,252.0,4538.414062,2654.544189,2.0,1.0,103.764889,122.288289,5506.692965,192.437187,255.0,3810697264.0,442939109.0,255.0,0.209405,0.078221,0.131184,59.0,44.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,2.0,0.0,0,0.7417068664076485
1.434728,tcp,ftp,FIN,22.0,22.0,1198.0,1614.0,62.0,252.0,6378.90918,8592.569336,7.0,9.0,68.320382,67.744046,3820.616367,4085.851617,255.0,1352446597.0,2145950624.0,255.0,0.077194,0.011596,0.065598,54.0,73.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,1,0.9998585735663856
3.181502,tcp,smtp,FIN,62.0,26.0,59974.0,2108.0,62.0,252.0,148375.2031,5096.963379,28.0,8.0,52.141,122.30168,5530.120154,229.831156,255.0,2579158936.0,1421369098.0,255.0,0.207459,0.123954,0.083505,967.0,81.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,4.0,0.0,0.0,0.0,1.0,1.0,0.0,1,0.999836082050672
1.44028,tcp,http,FIN,12.0,12.0,864.0,4980.0,62.0,252.0,4399.144531,25356.18164,2.0,3.0,130.924455,120.07854,7218.91538,8131.600334,255.0,1560571167.0,4152831041.0,255.0,0.169564,0.119407,0.050157,72.0,415.0,1.0,1991.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,1,0.9996333806282292
0.551665,tcp,http,FIN,10.0,8.0,818.0,1130.0,62.0,252.0,10687.64551,14342.03711,2.0,2.0,61.296111,68.592141,3089.079182,109.649055,255.0,4218482452.0,2071024347.0,255.0,0.122289,0.07065,0.051639,82.0,141.0,1.0,132.0,7.0,1.0,4.0,4.0,3.0,7.0,0.0,0.0,9.0,6.0,7.0,0.0,0,0.9363469021771268
8e-06,udp,-,INT,2.0,0.0,1064.0,0.0,254.0,0.0,532000000.0,0.0,0.0,0.0,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,532.0,0.0,0.0,0.0,30.0,2.0,14.0,14.0,1.0,30.0,0.0,0.0,0.0,14.0,30.0,0.0,0,0.8277050802002011
1.163034,tcp,-,FIN,10.0,8.0,534.0,354.0,254.0,252.0,3308.587891,2132.354004,2.0,1.0,122.663778,152.676422,6989.715365,253.851297,255.0,1765079560.0,1858147603.0,255.0,0.152441,0.09429,0.058151,53.0,44.0,0.0,0.0,3.0,1.0,1.0,1.0,1.0,3.0,0.0,0.0,0.0,1.0,3.0,0.0,0,0.8016566201566484
0.728854,tcp,-,FIN,16.0,10.0,980.0,556.0,254.0,252.0,10087.06836,5499.043457,5.0,3.0,47.546266,76.643336,2423.680887,93.765727,255.0,3409092929.0,556372052.0,255.0,0.102989,0.039063,0.063926,61.0,56.0,0.0,0.0,4.0,1.0,2.0,2.0,1.0,4.0,0.0,0.0,0.0,3.0,4.0,0.0,0,0.9415722360848564
1.460351,tcp,-,FIN,14.0,14.0,836.0,690.0,254.0,252.0,4256.510742,3511.484619,4.0,4.0,112.334692,107.205383,6809.246708,183.712734,255.0,2360339129.0,1241004615.0,255.0,0.114132,0.055447,0.058685,60.0,49.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0,0.5454623822360829
1.082469,tcp,http,FIN,10.0,10.0,796.0,1266.0,62.0,252.0,5298.99707,8425.183594,2.0,2.0,120.274333,113.490781,8564.456594,157.273172,255.0,2537858514.0,769684889.0,255.0,0.130579,0.060317,0.070262,80.0,127.0,1.0,172.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1,0.5576704933561847
5.608621,tcp,ftp,FIN,26.0,22.0,1330.0,1622.0,62.0,252.0,1824.334351,2209.455811,7.0,9.0,224.34484,259.085756,14226.09716,17958.74772,255.0,2972027900.0,115857955.0,255.0,0.200199,0.110415,0.089784,51.0,74.0,0.0,0.0,1.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,0.0,2.0,1.0,0.0,1,0.9998230430287314
1.1e-05,udp,,unknown,2.0,0.0,1660.0,0.0,254.0,0.0,603636352.0,0.0,0.0,0.0,0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,830.0,0.0,0.0,0.0,63.0,2.0,7.0,7.0,1.0,63.0,0.0,0.0,0.0,8.0,62.0,0.0,0,0.9993855349469614
0.509293,tcp,http,FIN,10.0,8.0,980.0,354.0,254.0,252.0,13854.5,4869.495605,2.0,1.0,53.403333,66.99343,3686.590502,124.491891,255.0,3598636498.0,942050416.0,255.0,0.09898,0.040335,0.058645,98.0,44.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,7.0,1.0,0.0,1,0.9991460488598882
0.955558,tcp,-,FIN,10.0,6.0,642.0,268.0,254.0,252.0,4839.057617,1875.343994,2.0,1.0,102.489556,170.601594,5635.849811,286.52875,255.0,3430842418.0,922974953.0,255.0,0.190504,0.102547,0.087957,64.0,45.0,0.0,0.0,7.0,1.0,1.0,1.0,1.0,4.0,0.0,0.0,0.0,4.0,4.0,0.0,0,0.7763662831479414
0.513708,tcp,http,FIN,10.0,8.0,844.0,354.0,254.0,252.0,11835.51758,4827.645508,2.0,1.0,53.189,65.576711,3348.261813,121.611953,255.0,1299836124.0,862037171.0,255.0,0.114971,0.054668,0.060303,84.0,44.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1,0.9970665036182538
1.584162,tcp,-,FIN,10.0,8.0,534.0,354.0,254.0,252.0,2429.044434,1565.49646,2.0,1.0,175.947333,214.239859,12365.40049,323.454469,255.0,1641392509.0,3249666002.0,255.0,0.148596,0.084474,0.064122,53.0,44.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,3.0,0.0,0,0.8530855599640765
0.521561,tcp,-,FIN,10.0,6.0,534.0,268.0,254.0,252.0,7377.852051,3435.8396,2.0,1.0,50.998556,91.933602,2763.382626,137.880344,255.0,820860530.0,2557399829.0,255.0,0.110412,0.061884,0.048528,53.0,45.0,0.0,0.0,4.0,1.0,2.0,2.0,2.0,3.0,0.0,0.0,0.0,3.0,4.0,0.0,0,0.7474110015156791
0.679817,tcp,-,FIN,10.0,8.0,564.0,354.0,254.0,252.0,5978.079102,3648.040527,2.0,1.0,71.952556,90.26757,5593.570799,129.709344,255.0,3419023050.0,2019941769.0,255.0,0.096378,0.047939,0.048439,56.0,44.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1,0.9976943565254848
0.958898,tcp,http,FIN,28.0,88.0,2782.0,115070.0,62.0,252.0,22384.02734,949114.5,6.0,42.0,35.476592,10.796046,1816.495944,1106.126735,255.0,2207973310.0,3596005989.0,255.0,0.036596,0.019633,0.016963,99.0,1308.0,1.0,109.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1,0.999787413648611
1.2e-05,udp,-,INT,2.0,0.0,1064.0,0.0,254.0,0.0,354666656.0,0.0,0.0,0.0,0.012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,532.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,2.0,0.0,0,0.5072168013660936
10.839519,,,INT,4.0,0.0,2128.0,0.0,254.0,0.0,1177.912109,0.0,0.0,0.0,3613.173,0.0,5109.7825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,532.0,0.0,0.0,0.0,32.0,2.0,6.0,6.0,1.0,32.0,0.0,0.0,0.0,7.0,32.0,0.0,1,0.9973152159810538
0.75361,tcp,-,FIN,10.0,8.0,564.0,354.0,254.0,252.0,5392.709473,3290.82666,2.0,1.0,79.073333,103.74,6004.106984,145.490141,255.0,1085334405.0,2528085839.0,255.0,0.085133,0.027419,0.057714,56.0,44.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1,0.9992987242496306
0.394211,tcp,,unknown,10.0,6.0,1742.0,268.0,254.0,252.0,31820.52344,4545.789062,2.0,1.0,38.232333,73.874,1977.272662,109.152867,255.0,2113664043.0,3468709752.0,255.0,0.085275,0.024832,0.060443,174.0,45.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1,0.9987188951872168
0.69616,tcp,-,FIN,10.0,8.0,564.0,354.0,254.0,252.0,5837.738281,3562.399414,2.0,1.0,75.167667,96.634141,5624.851044,136.670875,255.0,3398622782.0,1443922894.0,255.0,0.098464,0.01971,0.078754,56.0,44.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,1,0.9960436526973128
0.885717,tcp,-,FIN,10.0,8.0,534.0,354.0,254.0,252.0,4344.50293,2799.991455,2.0,1.0,98.397444,114.86157,5196.385957,205.700344,255.0,1448875343.0,1226370688.0,255.0,0.209751,0.081685,0.128066,53.0,44.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0,0.6782410143908195
1.253804,tcp,http,FIN,10.0,8.0,818.0,354.0,254.0,252.0,4702.489746,1977.980713,2.0,1.0,135.852667,167.926719,9230.179271,239.400813,255.0,2929819153.0,607370877.0,255.0,0.148862,0.078311,0.070551,82.0,44.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,2.0,0.0,0.0,1.0,2.0,1.0,0.0,1,0.9862958406868776
3e-06,udp,,INT,2.0,0.0,78.0,0.0,254.0,0.0,104000000.0,0.0,0.0,0.0,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,0.0,0.0,0.0,26.0,2.0,9.0,9.0,1.0,25.0,0.0,0.0,0.0,9.0,25.0,0.0,0,0.9794209877429462
1.060296,tcp,-,FIN,10.0,8.0,534.0,354.0,254.0,252.0,3629.175049,2338.969482,2.0,1.0,117.810667,139.340422,7263.880045,217.296812,255.0,3328478999.0,2576939973.0,255.0,0.100833,0.072828,0.028005,53.0,44.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0,0.5710285205178411
8e-06,tcp,-,REQ,2.0,0.0,90.0,0.0,254.0,0.0,45000000.0,0.0,1.0,0.0,0.008,0.0,0.0,0.0,255.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,9.0,6.0,2.0,1.0,1.0,9.0,0.0,0.0,0.0,3.0,7.0,0.0,0,0.9996254119842456
0.542439,tcp,-,FIN,12.0,10.0,2832.0,637.0,254.0,252.0,38286.33203,8465.467773,3.0,3.0,48.054818,57.797891,3382.304229,111.562305,255.0,921270739.0,2976817785.0,255.0,0.073078,0.02225,0.050828,236.0,64.0,0.0,0.0,3.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1,0.9907626973092748
0.487777,tcp,,FIN,10.0,6.0,926.0,268.0,254.0,252.0,13678.38184,3673.810059,2.0,1.0,51.451222,78.003203,2791.772954,125.85932,255.0,3455347398.0,33131973.0,255.0,0.205577,0.097752,0.107825,93.0,45.0,1.0,0.0,3.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,1.0,2.0,1.0,0.0,1,0.968165853080487
1.464138,,,unknown,12.0,10.0,994.0,818.0,254.0,252.0,4983.136719,4026.942627,3.0,2.0,133.091097,147.729,7386.615592,265.647875,255.0,3061668113.0,3214433675.0,255.0,0.21369,0.134574,0.079116,83.0,82.0,0.0,0.0,3.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,2.0,0.0,1,0.999549346448358
0.696399,tcp,-,FIN,14.0,12.0,1402.0,678.0,254.0,252.0,14956.94336,7145.329102,4.0,4.0,53.569153,55.378,2690.518366,73.057148,255.0,2150231171.0,3210371977.0,255.0,0.077379,0.056881,0.020498,100.0,57.0,0.0,0.0,5.0,1.0,1.0,1.0,1.0,5.0,0.0,0.0,0.0,1.0,5.0,0.0,0,0.9127881372658748
0.184347,,,unknown,10.0,6.0,1612.0,268.0,254.0,252.0,62968.20703,9720.797852,2.0,1.0,19.137111,30.588,986.983557,44.836078,255.0,533230317.0,1852799886.0,255.0,0.055703,0.031404,0.024299,161.0,45.0,0.0,0.0,9.0,1.0,3.0,3.0,1.0,9.0,0.0,0.0,0.0,3.0,9.0,0.0,1,0.9975681450812904
7e-06,udp,-,INT,2.0,0.0,2136.0,0.0,254.0,0.0,1220571392.0,0.0,0.0,0.0,0.007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1068.0,0.0,0.0,0.0,6.0,2.0,4.0,4.0,1.0,6.0,0.0,0.0,0.0,4.0,6.0,0.0,0,0.5331832478602041
0.263743,tcp,,FIN,10.0,6.0,1840.0,268.0,254.0,252.0,50230.71484,6794.492676,2.0,1.0,25.489111,48.892199,1279.077597,70.688047,255.0,847302223.0,4194855727.0,255.0,0.066286,0.019272,0.047014,184.0,45.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1,0.9960755204487706
8e-06,udp,,INT,2.0,0.0,114.0,0.0,254.0,0.0,57000000.0,0.0,0.0,0.0,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,0.0,0.0,0.0,51.0,2.0,51.0,51.0,27.0,51.0,0.0,0.0,0.0,51.0,51.0,0.0,1,0.9990826969046775
1.274938,tcp,-,FIN,10.0,8.0,534.0,354.0,254.0,252.0,3018.186035,1945.192627,2.0,1.0,141.557,167.786422,10522.41832,262.031,255.0,190318820.0,3063203923.0,255.0,0.172956,0.100429,0.072527,53.0,44.0,0.0,0.0,4.0,1.0,3.0,1.0,1.0,4.0,0.0,0.0,0.0,2.0,4.0,0.0,0,0.7004223059249444
1e-06,unas,-,INT,2.0,0.0,200.0,0.0,254.0,0.0,800000000.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,3.0,2.0,1.0,1.0,1.0,3.0,0.0,0.0,0.0,9.0,3.0,0.0,1,0.9995143677320484
1.1e-05,xnet,-,INT,2.0,0.0,180.0,0.0,254.0,0.0,65454544.0,0.0,0.0,0.0,0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,0.0,0.0,14.0,2.0,14.0,14.0,14.0,14.0,0.0,0.0,0.0,15.0,14.0,0.0,1,0.9990382145202248
0.445603,tcp,-,FIN,10.0,6.0,898.0,268.0,254.0,252.0,14524.13867,4021.516846,2.0,1.0,44.564889,80.372203,2392.485387,123.57418,255.0,307267475.0,1182771779.0,255.0,0.163424,0.043738,0.119686,90.0,45.0,0.0,0.0,4.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1,0.9589729831509792
8e-06,udp,-,unknown,2.0,0.0,104.0,0.0,254.0,0.0,52000000.0,0.0,0.0,0.0,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,0.0,0.0,0.0,6.0,2.0,3.0,3.0,1.0,6.0,0.0,0.0,0.0,4.0,6.0,0.0,0,0.7817786700629455
0.223153,tcp,http,FIN,10.0,8.0,812.0,932.0,62.0,252.0,26206.23633,29253.47266,2.0,2.0,24.794778,30.111143,1338.278346,54.64307,255.0,2944518486.0,2981896175.0,255.0,0.058123,0.006921,0.051202,81.0,117.0,1.0,35.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1,0.9998247115442938
1.192999,tcp,http,FIN,10.0,10.0,824.0,1176.0,62.0,252.0,4975.695801,7101.430664,2.0,2.0,132.555444,119.340336,7384.587341,219.976781,255.0,3293814998.0,3096272177.0,255.0,0.177142,0.095918,0.081224,82.0,118.0,1.0,204.0,4.0,1.0,3.0,3.0,3.0,4.0,0.0,0.0,9.0,3.0,4.0,0.0,0,0.9734488454523192
0.394319,tcp,ftp-data,FIN,8.0,8.0,364.0,498.0,62.0,252.0,6471.91748,8845.629883,1.0,2.0,56.331288,54.56343,3869.892288,116.199672,255.0,4090641798.0,3480895369.0,255.0,0.057896,0.011568,0.046328,46.0,62.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,1,0.9969670148553434
7e-06,,-,INT,2.0,0.0,1064.0,0.0,254.0,0.0,608000000.0,0.0,0.0,0.0,0.007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,532.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,2.0,0.0,1,0.9977453216903226
1.270869,tcp,-,FIN,10.0,10.0,608.0,646.0,254.0,252.0,3449.608154,3663.634766,2.0,3.0,141.207667,131.781672,8074.346133,189.522297,255.0,998053055.0,2832206097.0,255.0,0.146111,0.083966,0.062145,61.0,65.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,18.0,2.0,0.0,1,0.6014710359093323
9e-06,unas,,unknown,2.0,0.0,200.0,0.0,254.0,0.0,88888888.0,0.0,0.0,0.0,0.009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,7.0,2.0,2.0,2.0,2.0,7.0,0.0,0.0,0.0,11.0,7.0,0.0,1,0.9997707816775429
0.462304,tcp,-,CON,6.0,2.0,998.0,86.0,62.0,252.0,14397.45313,744.099121,2.0,1.0,92.4608,0.002,4628.340831,0.0,255.0,1955221893.0,3842621615.0,255.0,0.21901,0.141371,0.077639,166.0,43.0,0.0,0.0,2.0,3.0,2.0,2.0,1.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,0,0.9998200207283056
1.050223,,,unknown,10.0,8.0,534.0,354.0,254.0,252.0,3663.983887,2361.40332,2.0,1.0,109.404667,138.850141,6681.118227,208.958984,255.0,3389092649.0,3701601589.0,255.0,0.144481,0.07827,0.066211,53.0,44.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,1,0.9997521511398626
32.081898,tcp,http,FIN,120.0,28.0,136392.0,1224.0,254.0,252.0,33727.67969,294.496307,79.0,1.0,271.692478,1185.538625,88918.9537,5758.2835,255.0,151555914.0,842860119.0,255.0,0.123285,0.072349,0.050936,1137.0,44.0,1.0,0.0,3.0,1.0,3.0,3.0,2.0,2.0,0.0,0.0,2.0,3.0,3.0,0.0,1,0.9473377791700032
0.916549,tcp,-,FIN,10.0,6.0,2322.0,268.0,254.0,252.0,18242.3418,1955.160034,2.0,1.0,101.736444,141.729406,5286.189825,249.745453,255.0,2372744666.0,2222325668.0,255.0,0.303541,0.207894,0.095647,232.0,45.0,0.0,0.0,12.0,1.0,1.0,1.0,1.0,6.0,0.0,0.0,0.0,1.0,6.0,0.0,1,0.6661047430947925
12.665216,ospf,-,INT,20.0,0.0,900.0,0.0,254.0,0.0,540.061829,0.0,0.0,0.0,666.590312,0.0,808.0395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,22.0,0.0,0.0,0.0,2.0,1.0,0.0,1,0.999693380990024
0.551176,tcp,-,FIN,10.0,6.0,580.0,268.0,254.0,252.0,7576.527344,3251.22998,2.0,1.0,61.135778,103.159398,3311.461233,181.076594,255.0,229095413.0,2226691144.0,255.0,0.105553,0.035378,0.070175,58.0,45.0,0.0,0.0,5.0,1.0,1.0,1.0,1.0,5.0,0.0,0.0,0.0,1.0,5.0,0.0,1,0.5303044145240995
0.690989,tcp,-,FIN,10.0,6.0,534.0,268.0,254.0,252.0,5568.82959,2593.384277,2.0,1.0,76.776556,124.501398,3733.57476,187.401469,255.0,4252070097.0,471392388.0,255.0,0.136747,0.067731,0.069016,53.0,45.0,0.0,0.0,9.0,1.0,2.0,3.0,2.0,2.0,0.0,0.0,0.0,3.0,4.0,0.0,1,0.9375084290353874
9e-06,udp,-,INT,2.0,0.0,168.0,0.0,254.0,0.0,74666664.0,0.0,0.0,0.0,0.009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,1,0.9973756383424884
1.603082,tcp,-,FIN,10.0,8.0,546.0,354.0,254.0,252.0,2455.270508,1547.020142,2.0,1.0,175.040111,217.139859,11513.87496,303.46475,255.0,2518375740.0,799889634.0,255.0,0.152191,0.083095,0.069096,55.0,44.0,0.0,0.0,12.0,1.0,1.0,1.0,1.0,5.0,0.0,0.0,0.0,2.0,5.0,0.0,0,0.608934247716893
3e-06,unas,-,INT,2.0,0.0,200.0,0.0,254.0,0.0,266666656.0,0.0,0.0,0.0,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,3.0,2.0,1.0,1.0,1.0,3.0,0.0,0.0,0.0,1.0,3.0,0.0,1,0.9998609287558812
