feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,feature10,feature11,feature12,feature13,feature14,feature15,feature16,feature17,feature18,feature19,feature20,is_drift,batch_id,label_model,prob
V3,35.807275,V2,V0,5663.255891,V4,V2,4.0,V2,V0,4.0,V1,28.320212,none,,1.0,V2,2.0,unknown,yes,1,1,0,0.8814212083816528
V0,10.774373,V2,V3,2450.473254,V0,,2.0,V2,V0,1.0,V3,34.106249,,,2.0,V1,1.0,yes,no,1,1,1,0.9586151242256165
V3,7.59503,V4,V3,794.07176,V4,V3,4.0,V1,V0,2.0,V0,23.790561,none,V0,2.0,V2,1.0,unknown,yes,1,1,0,0.9936367869377136
V3,25.573561,V4,V3,2510.590876,V0,V0,4.0,V2,V0,3.0,V0,52.034548,none,,1.0,V1,2.0,none,yes,1,1,0,0.9647629261016846
V0,8.890282,V2,V2,842.862058,V0,,4.0,V1,V0,2.0,V1,36.152085,none,V1,1.0,V2,2.0,unknown,yes,1,1,1,0.8437446355819702
V2,25.628996,V2,V3,6857.041452,V0,V4,4.0,V1,V0,4.0,V3,26.7392,none,V1,1.0,V2,1.0,yes,yes,1,1,0,0.8404887318611145
V0,20.410591,V4,V3,3045.851484,V0,V3,1.0,V0,V0,3.0,V2,45.155417,none,V1,2.0,V2,2.0,yes,yes,1,1,0,0.9712591767311096
V1,41.052962,V2,V8,7364.25994,V0,V3,4.0,V1,V0,4.0,V1,41.548872,,V1,1.0,V2,1.0,none,yes,1,1,0,0.6026312708854675
V0,12.866844,V2,V3,11838.394855,V0,V2,4.0,V2,V0,2.0,V2,54.725238,bank,V1,1.0,V1,2.0,none,yes,1,1,1,0.9620712399482727
V2,15.767473,V3,V6,1384.004764,V0,V0,4.0,V2,V0,4.0,V1,34.81458,none,V1,2.0,V2,1.0,yes,yes,1,1,0,0.9340930581092834
V3,22.515495,V2,V9,2652.896984,V0,V0,4.0,V2,V0,4.0,V0,40.121131,,V1,1.0,V3,1.0,unknown,yes,1,1,0,0.9290879368782043
V1,29.213691,V2,V2,15227.853247,V3,V2,1.0,V1,V0,2.0,V2,30.711983,none,V1,1.0,V2,1.0,none,yes,1,1,0,0.7169185876846313
V3,20.810897,V0,V1,1684.883883,V0,V4,4.0,V2,V0,4.0,V3,57.714939,,V2,2.0,V3,1.0,yes,no,1,1,0,0.9278773665428162
V3,14.650917,V4,V3,3731.490026,V4,,2.0,V1,V1,4.0,V0,22.847063,none,,2.0,V2,1.0,unknown,yes,1,1,0,0.9864993691444397
V3,8.39858,V4,V9,1076.613244,V0,V1,1.0,V2,V0,2.0,V1,27.450655,none,,2.0,V3,1.0,yes,yes,1,1,0,0.9596680402755737
V3,22.040112,V2,V1,10743.570187,V1,V2,2.0,V1,V0,4.0,V3,20.125979,none,V2,1.0,V2,1.0,yes,yes,1,1,0,0.7156925201416016
V1,38.436241,V0,V6,4490.16027,V0,V3,4.0,V1,V0,1.0,V0,34.36822,none,,1.0,V2,1.0,none,yes,1,1,1,0.9191533327102661
V0,12.018358,V2,V3,2444.816767,V0,V4,1.0,V1,V0,4.0,V1,39.169283,none,V0,1.0,V2,1.0,unknown,yes,1,1,0,0.7265203595161438
V0,23.819543,V2,V0,771.445502,V0,V1,1.0,V1,V0,1.0,V0,29.48075,,,1.0,V3,1.0,yes,yes,1,1,1,0.9418598413467407
V2,12.144151,V4,V0,1303.554584,V4,,4.0,V3,V0,2.0,V3,57.335945,none,V0,3.0,V2,1.0,none,yes,1,1,0,0.7727356553077698
V3,12.080971,V4,V3,1274.879218,V0,V1,2.0,V2,V0,4.0,V0,31.97682,bank,V1,2.0,V2,1.0,yes,yes,1,1,0,0.9100286960601807
V1,21.19777,V4,V0,1642.566277,V1,V2,4.0,V2,V0,2.0,V0,32.563494,,V1,3.0,V1,2.0,none,yes,1,1,0,0.7140047550201416
V3,32.489958,V4,V9,5675.644021,V3,V3,2.0,V2,V0,1.0,V1,20.319812,none,,1.0,V3,1.0,yes,yes,1,1,0,0.9671339988708496
V3,12.21681,V2,V1,2081.305976,V0,V4,4.0,V2,V0,2.0,V0,37.426445,none,V1,1.0,V2,1.0,none,yes,1,1,0,0.9790862798690796
V2,12.005816,V4,V3,1498.329068,V4,V3,4.0,V2,V0,2.0,V0,23.915269,none,V1,4.0,V1,2.0,none,yes,1,1,0,0.9667943716049194
V1,19.267878,V4,V1,3903.52578,V3,V2,2.0,V2,V0,4.0,V0,24.598044,none,V1,1.0,V2,1.0,yes,yes,1,1,0,0.9400543570518494
V1,38.993109,V2,V6,8059.315426,V1,V2,2.0,V1,V0,4.0,V2,27.717681,,V0,1.0,V1,1.0,unknown,yes,1,1,1,0.9099445939064026
V0,17.499558,V2,V2,9008.773274,V2,V2,2.0,V1,V0,4.0,V1,33.17137,none,V1,1.0,V2,1.0,none,yes,1,1,1,0.5895534753799438
V3,12.159075,V2,V1,1588.057092,V4,V4,3.0,V2,V0,2.0,V0,40.765264,bank,V1,1.0,V3,1.0,yes,yes,1,1,0,0.9693440198898315
V3,11.985847,V4,V9,1008.634799,V4,,4.0,V2,V0,1.0,V0,25.932169,none,V0,2.0,V2,1.0,yes,yes,1,1,0,0.9367073774337769
V1,8.408589,V2,V9,2225.414207,V1,V1,2.0,V2,V0,2.0,V2,26.385559,none,V0,1.0,V2,1.0,none,yes,1,1,0,0.6894419193267822
V3,37.865624,V4,V3,8613.225552,V0,,2.0,V1,V0,4.0,V2,50.921751,none,V1,3.0,V2,1.0,unknown,yes,1,1,0,0.9885273575782776
V1,18.649413,V2,V0,3687.705799,V0,V2,3.0,V2,V0,4.0,V0,19.359564,,V1,1.0,V2,1.0,unknown,yes,1,1,1,0.7055284976959229
V3,12.165613,V2,V3,369.581221,V0,V2,2.0,V3,V0,3.0,V1,33.115661,none,,2.0,V1,1.0,none,yes,1,1,0,0.9309032559394836
V1,16.165383,V3,V3,3628.495908,V0,V4,2.0,V2,V0,2.0,V0,62.719433,bank,V1,1.0,V2,1.0,none,yes,1,1,0,0.8754741549491882
V1,44.041628,V2,V3,6256.100697,V0,V2,3.0,V1,V0,4.0,V2,32.878313,none,V0,1.0,V1,1.0,unknown,yes,1,1,1,0.6882185935974121
V3,22.754643,V4,V3,2335.022441,V3,V3,4.0,V1,V0,2.0,V2,22.914113,none,V1,2.0,V2,1.0,none,yes,1,1,0,0.9898128509521484
V0,23.015186,V0,V6,779.404149,V2,V1,2.0,V1,V0,2.0,V0,41.128936,,V0,2.0,V1,1.0,none,yes,1,1,1,0.9351266622543335
V3,11.978551,V4,V3,2045.369417,V0,V2,2.0,V1,V0,2.0,V2,36.775383,,V0,2.0,V2,1.0,none,no,1,1,0,0.9876236319541931
V1,17.250238,V3,V0,6910.432998,V0,V0,2.0,V1,V0,4.0,V3,56.34546,none,V2,1.0,V2,1.0,yes,yes,1,1,0,0.773959755897522
V2,44.004569,V3,V9,4213.292297,V0,V2,4.0,V2,V1,4.0,V3,35.05459,none,V2,2.0,V1,1.0,unknown,yes,1,1,0,0.622390627861023
V3,17.202918,V2,V1,2419.169956,V2,,1.0,V2,V0,4.0,V2,62.673234,none,,2.0,V3,2.0,yes,yes,1,1,0,0.977616548538208
V1,15.765447,V2,V1,14869.029834,V4,V2,2.0,V3,V2,3.0,V0,22.889802,none,V1,1.0,V2,1.0,none,yes,1,1,0,0.9341925978660583
V1,19.674097,V2,V2,2661.135532,V0,V2,2.0,V2,V0,2.0,V1,27.59909,none,,1.0,V2,1.0,unknown,yes,1,1,1,0.5734078288078308
V3,47.272844,V4,V3,5904.701242,V0,V3,3.0,V2,V2,3.0,V1,34.001449,none,V0,2.0,V3,1.0,unknown,yes,1,1,0,0.9953837394714355
V0,17.240882,V1,V0,1321.241126,V1,V4,2.0,V2,V0,4.0,V2,34.794719,none,V1,2.0,V3,1.0,unknown,yes,1,1,1,0.9730090498924255
V0,23.458449,V2,V2,1311.038183,V0,V2,4.0,V1,V0,4.0,V2,31.192591,none,V1,1.0,V2,1.0,none,yes,1,1,1,0.8371722102165222
V0,18.597173,V4,V2,3896.364666,V0,V1,3.0,V2,V0,1.0,V2,22.486806,bank,V1,1.0,V2,2.0,unknown,yes,1,1,1,0.7334050536155701
V3,24.824308,V2,V0,3674.104078,V4,V4,2.0,V3,V0,4.0,V2,53.346376,none,V1,1.0,V2,1.0,none,yes,1,1,0,0.9502876996994019
V1,19.733625,V2,V3,2243.267138,V0,V1,4.0,V1,V2,1.0,V1,22.578278,none,V1,1.0,V2,1.0,none,yes,1,1,0,0.5947388410568237
V3,6.760512,V2,V9,2138.901279,V2,V3,4.0,V2,V0,3.0,V3,50.959288,bank,,1.0,V2,1.0,none,yes,1,1,0,0.9679168462753296
V1,12.158293,V2,V3,2524.858858,V0,V0,4.0,V1,V0,4.0,V0,24.429329,none,V1,1.0,V3,1.0,unknown,yes,1,1,0,0.6855168342590332
V1,18.579651,V1,V3,1540.594245,V0,V4,3.0,V1,V1,4.0,V0,26.940639,bank,V1,2.0,V3,1.0,yes,yes,1,1,1,0.9046857357025146
V0,12.585413,V2,V0,1325.08616,V4,,4.0,V2,V0,2.0,V1,34.052008,none,V0,1.0,V3,2.0,yes,yes,1,1,1,0.6267828345298767
V3,14.936243,V2,V9,2044.843049,V4,V4,2.0,V2,V0,4.0,V0,39.265411,bank,V1,3.0,V2,2.0,none,yes,1,1,0,0.9123899340629578
V3,33.749162,V4,V0,2920.045763,V0,,2.0,V3,V0,2.0,V3,22.819541,,V2,2.0,V2,1.0,yes,yes,1,1,0,0.7816116809844971
V1,20.693325,V2,V2,1622.840086,V0,V4,3.0,V2,V0,3.0,V2,50.818196,none,V1,1.0,V2,2.0,yes,yes,1,1,1,0.5230621695518494
V0,14.025799,V4,V0,1076.738956,V0,V2,4.0,V0,V0,2.0,V2,34.049545,bank,V0,2.0,V1,1.0,unknown,yes,1,1,1,0.9449887275695801
V0,23.379706,V4,V0,5074.741935,V0,V2,2.0,V2,V0,4.0,V2,27.361227,bank,V1,2.0,V1,1.0,yes,yes,1,1,1,0.6500852704048157
V3,7.369683,V2,V2,1983.609752,V0,V2,4.0,V2,V2,4.0,V1,39.591664,none,V1,1.0,V2,1.0,yes,yes,1,1,0,0.964509129524231
V1,19.42406,V2,V8,2063.014119,V0,V3,3.0,V2,V0,3.0,V1,27.37717,none,,1.0,V3,2.0,none,yes,1,1,0,0.6767784357070923
V1,15.951855,V2,V1,13225.083627,V4,V2,2.0,V2,V0,2.0,V2,29.931058,none,V1,1.0,V2,1.0,none,yes,1,1,0,0.9270715713500977
V1,27.313486,V1,V1,3351.620218,V1,V1,2.0,V1,V2,1.0,V1,26.750421,bank,V1,1.0,V1,1.0,none,yes,1,1,1,0.7453178763389587
V0,10.846348,V3,V3,1508.749718,V0,,4.0,V2,V0,4.0,V0,42.076246,,,1.0,V2,1.0,none,yes,1,1,0,0.861588716506958
V3,12.11814,V0,V2,809.190627,V0,V1,4.0,V2,V0,4.0,V0,21.733115,none,V1,2.0,V3,1.0,yes,yes,1,1,1,0.5136280655860901
V1,12.193335,V2,V0,9214.351286,V4,V3,1.0,V1,V0,2.0,V3,32.973693,,V1,1.0,V3,1.0,yes,yes,1,1,1,0.535119354724884
V1,12.110484,V4,V3,2448.620662,V0,V2,4.0,V2,V0,2.0,V2,27.611594,none,,1.0,V1,1.0,none,yes,1,1,0,0.9209785461425781
V3,5.940479,V2,V2,970.523514,V1,V2,2.0,V2,V0,2.0,V2,54.237098,,V1,2.0,V3,1.0,yes,yes,1,1,0,0.9654386639595032
V0,15.038071,V4,V1,1835.181192,V1,V1,2.0,V0,V0,3.0,V1,35.091648,bank,V1,2.0,V2,1.0,yes,yes,1,1,1,0.5535178184509277
V3,17.237698,V2,V2,1446.148379,V0,V4,4.0,V2,V1,4.0,V0,40.563693,none,V1,1.0,V2,1.0,unknown,yes,1,1,0,0.9358904957771301
V3,57.904823,V2,V3,4553.628403,V4,V2,4.0,V2,V0,2.0,V0,29.193697,bank,,1.0,V2,2.0,none,yes,1,1,0,0.9016309380531311
V1,26.310266,V2,V9,10776.092321,V0,V2,1.0,V1,V0,2.0,V3,28.249279,none,V2,1.0,V1,1.0,yes,yes,1,1,1,0.8552170991897583
V1,18.941813,V4,V3,1978.841336,V0,V1,4.0,V2,V0,2.0,V3,33.89118,none,V2,1.0,V1,2.0,none,yes,1,1,0,0.6544202566146851
V3,12.449383,V2,V1,1572.101076,V4,V4,4.0,V2,V0,4.0,V0,54.260281,none,V1,1.0,V2,2.0,unknown,yes,1,1,0,0.991299033164978
V1,27.032372,V2,V2,2640.4462,V1,,4.0,V0,V0,2.0,V2,38.150522,none,V1,1.0,V2,1.0,none,yes,1,1,1,0.8263090252876282
V3,22.730242,V2,V1,977.931994,V4,V2,3.0,V1,V0,2.0,V2,22.99878,none,V1,1.0,V3,1.0,yes,yes,1,1,0,0.6678007245063782
V1,12.462545,V0,V1,1453.343008,V0,,4.0,V2,V0,1.0,V3,26.924635,none,V2,2.0,V2,1.0,yes,yes,1,1,1,0.8849614262580872
V3,12.45813,V2,V0,1593.641049,V0,,1.0,V2,V0,3.0,V2,38.877089,none,V1,1.0,V2,1.0,unknown,no,1,1,0,0.9920591711997986
V3,10.778762,V4,V0,1813.214618,V4,V1,4.0,V2,V2,1.0,V0,22.686817,none,V0,2.0,V3,1.0,yes,yes,1,1,0,0.994553804397583
V2,36.436353,V2,V0,11347.959262,V0,V1,4.0,V2,V0,4.0,V3,27.32901,none,,1.0,V2,1.0,none,yes,1,1,1,0.9206421971321106
V2,12.276508,V2,V0,1330.052629,V0,,3.0,V1,V0,1.0,V0,69.284141,none,V1,1.0,V1,1.0,none,yes,1,1,0,0.8660154342651367
V1,48.356601,V2,V0,9161.42447,V0,V4,2.0,V2,V0,3.0,V3,40.683259,none,V2,1.0,V3,2.0,unknown,yes,1,1,1,0.8555352687835693
V2,10.713526,V2,V0,2367.747033,V0,V2,2.0,V1,V0,2.0,V2,24.886265,none,V1,1.0,V1,1.0,none,yes,1,1,0,0.8127315044403076
V1,12.148905,V4,V0,1824.159653,V0,V4,4.0,V2,V2,2.0,V0,41.44202,none,V1,2.0,V2,2.0,yes,yes,1,1,0,0.9870585203170776
V3,19.416988,V3,V2,2642.055696,V0,,1.0,V2,V0,4.0,V2,48.471152,none,V1,2.0,V0,1.0,none,yes,1,1,0,0.9522188305854797
V1,36.763507,V2,V1,10183.194795,V0,,4.0,V2,V2,3.0,V3,40.546608,bank,V0,1.0,V2,2.0,yes,yes,1,1,1,0.6590736508369446
V3,18.187883,V2,V1,3474.43707,V0,V4,1.0,V3,V0,4.0,V2,59.142789,none,V0,1.0,V3,1.0,yes,yes,1,1,0,0.9580222368240356
V3,23.537254,V2,V6,2139.762486,V0,V4,4.0,V2,V0,4.0,V2,37.265537,,V1,1.0,V2,1.0,yes,yes,1,1,0,0.953691303730011
V1,16.636328,V4,V5,9650.124143,V0,,2.0,V1,V0,2.0,V3,28.083057,none,V2,2.0,V2,1.0,none,yes,1,1,1,0.551918625831604
V0,44.456603,V4,V2,7926.976371,V0,V2,2.0,V2,V0,4.0,V1,59.473118,none,,2.0,V0,2.0,unknown,yes,1,1,1,0.7655171155929565
V0,31.003499,V2,V2,9773.526301,V1,,3.0,V2,V0,2.0,V1,43.705628,none,V1,2.0,V1,1.0,yes,yes,1,1,1,0.8503352999687195
V1,12.400376,V4,V9,1155.460809,V0,,3.0,V1,V0,4.0,V3,38.190267,none,V1,2.0,V2,1.0,yes,yes,1,1,0,0.7522315979003906
V3,6.928532,V2,V0,1501.877874,V0,V2,2.0,V1,V0,2.0,V2,27.686823,none,V0,1.0,V1,1.0,none,yes,1,1,0,0.9220762252807617
V0,17.799962,V4,V6,8548.978532,V1,V1,1.0,V2,V0,1.0,V3,31.28068,none,V2,2.0,V2,2.0,yes,yes,1,1,0,0.5214211940765381
V1,12.51865,V4,V9,2172.902656,V1,V1,4.0,V1,V0,2.0,V0,20.922115,,V1,1.0,V2,1.0,unknown,yes,1,1,1,0.8512331247329712
V1,17.514531,V2,V0,2867.043446,V2,V3,4.0,V1,V0,2.0,V2,45.569615,none,V1,2.0,V2,1.0,none,yes,1,1,0,0.7960853576660156
V1,24.651265,V2,V3,6748.600951,V0,V3,3.0,V2,V0,4.0,V1,27.758564,none,V1,1.0,V2,1.0,unknown,yes,1,1,0,0.722264289855957
V3,9.321353,V2,V3,1009.233738,V2,V1,4.0,V2,V0,1.0,V3,50.134717,,V1,1.0,V2,2.0,yes,yes,1,1,0,0.8640355467796326
V0,43.580857,V1,V0,7121.339478,V0,V2,1.0,V1,V0,4.0,V1,62.694037,bank,V1,1.0,V2,2.0,none,yes,1,1,1,0.808751106262207
V3,17.784698,V2,V0,3642.83473,V1,,2.0,V1,V0,4.0,V1,24.680582,none,,1.0,V1,1.0,unknown,yes,1,1,0,0.9458730220794678
V0,18.389472,V2,V3,3067.307994,V0,V2,3.0,V2,V0,2.0,V3,39.760721,none,,1.0,V2,1.0,unknown,yes,1,1,1,0.8178061246871948
V0,45.258173,V1,V3,3454.230915,V0,V1,4.0,V1,V1,1.0,V3,26.712196,,V0,1.0,V2,1.0,unknown,yes,1,1,1,0.9742160439491272
V1,24.856116,V4,V2,7010.997556,V3,V3,3.0,V2,V0,3.0,V1,26.647189,none,V1,2.0,V2,1.0,none,yes,1,1,0,0.8784051537513733
V0,43.269044,V2,V0,2451.505994,V4,V0,4.0,V2,V0,3.0,V2,37.167487,,V1,1.0,V3,1.0,unknown,yes,1,1,0,0.5506181716918945
V3,23.769792,V1,V3,711.343279,V0,V2,2.0,V2,V0,3.0,V2,32.181364,bank,V1,1.0,V2,2.0,none,yes,1,1,0,0.7468845248222351
V2,11.708987,V2,V1,911.11045,V0,V0,4.0,V2,V0,4.0,V0,24.975152,none,,1.0,V3,1.0,yes,yes,1,1,0,0.8991537690162659
V3,9.405511,V3,V8,2798.330438,V1,V4,1.0,V2,V0,4.0,V1,52.471319,,V1,2.0,V2,1.0,unknown,yes,1,1,0,0.9972608685493469
V0,18.907911,V4,V0,1371.802842,V0,V2,4.0,V2,V0,2.0,V0,42.049486,none,V1,2.0,V2,2.0,none,yes,1,1,0,0.6464579701423645
V3,25.457278,V0,V6,3694.505496,V0,,1.0,V2,V0,1.0,V1,48.489422,bank,V0,2.0,V2,2.0,unknown,yes,1,1,1,0.9110175967216492
V3,11.986804,V4,V3,738.406909,V0,V2,4.0,V2,V0,2.0,V2,38.300069,,V1,1.0,V2,1.0,yes,yes,1,1,0,0.8671190738677979
V1,12.086873,V2,V5,2638.339582,V0,V2,2.0,V2,V0,2.0,V2,42.501928,none,,1.0,V2,1.0,yes,yes,1,1,0,0.582192063331604
V0,25.333938,V2,V5,1452.465156,V0,,4.0,V2,V0,3.0,V2,40.158297,none,V0,1.0,V2,1.0,yes,yes,1,1,1,0.6975719928741455
V3,52.312319,V4,V9,13130.084473,V0,V2,2.0,V2,V0,2.0,V3,39.987486,none,V2,3.0,V2,1.0,unknown,yes,1,1,0,0.9266297817230225
V1,16.543521,V4,V3,2666.832221,V3,,4.0,V2,V0,2.0,V2,33.104907,none,V0,2.0,V2,2.0,yes,yes,1,1,0,0.9157740473747253
V0,18.590995,V2,V2,10166.806377,V0,V2,4.0,V2,V0,2.0,V1,27.890436,none,V1,1.0,V0,1.0,unknown,yes,1,1,0,0.7493269443511963
V0,18.042693,V4,V3,1219.594263,V0,V1,4.0,V1,V0,4.0,V0,28.180325,,V0,2.0,V3,1.0,yes,yes,1,1,1,0.7906653881072998
V2,20.053519,V2,V2,1805.704673,V0,V2,4.0,V0,V0,2.0,V2,63.730498,bank,V1,1.0,V2,1.0,none,yes,1,1,0,0.7790622711181641
V0,48.586626,V3,V4,4219.540775,V2,V0,3.0,V2,V0,3.0,V2,28.377624,,V1,2.0,V2,1.0,none,yes,1,1,1,0.6707836389541626
V3,37.133816,V2,V2,5767.247938,V0,,4.0,V2,V0,1.0,V1,53.96056,none,V1,1.0,V1,2.0,none,yes,1,1,1,0.8583342432975769
V1,12.08857,V2,V9,1660.564105,V1,V2,3.0,V0,V0,3.0,V2,30.20779,,V1,1.0,V2,1.0,none,yes,1,1,1,0.6913657784461975
V3,19.605319,V4,V9,2898.297621,V0,,3.0,V2,V0,2.0,V2,61.214664,none,V1,2.0,V3,1.0,unknown,yes,1,1,0,0.945978045463562
V3,24.981983,V2,V0,1823.160656,V0,V1,4.0,V1,V0,1.0,V0,29.15749,none,V1,1.0,V2,1.0,yes,yes,1,1,0,0.8305036425590515
V1,45.958234,V4,V0,3672.060053,V1,,3.0,V0,V1,2.0,V2,25.61365,none,V1,2.0,V2,1.0,none,yes,1,1,1,0.9379680156707764
V1,7.587567,V2,V3,1238.96734,V1,,2.0,V1,V0,3.0,V1,40.88299,none,V0,1.0,V2,1.0,none,yes,1,1,0,0.8847265243530273
V1,41.508756,V2,V6,6181.39793,V0,V2,4.0,V1,V0,4.0,V1,28.597566,none,V1,2.0,V2,1.0,none,yes,1,1,1,0.9290000200271606
V1,7.338301,V2,V3,1048.833314,V0,V3,4.0,V2,V0,3.0,V1,32.837394,none,V1,1.0,V2,1.0,yes,yes,1,1,0,0.9658637642860413
V1,17.932558,V2,V0,2382.835088,V3,V2,4.0,V2,V0,2.0,V0,25.158983,none,V1,1.0,V1,2.0,yes,yes,1,1,0,0.7976186871528625
V1,8.35717,V3,V2,1292.431035,V0,,3.0,V0,V0,1.0,V0,27.715901,none,V1,2.0,V1,1.0,none,yes,1,1,1,0.9073229432106018
