feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,feature10,feature11,feature12,feature13,feature14,feature15,feature16,feature17,feature18,feature19,feature20,feature21,feature22,feature23,feature24,feature25,feature26,feature27,feature28,feature29,feature30,feature31,feature32,feature33,feature34,feature35,feature36,feature37,feature38,feature39,feature40,feature41
0.401296,tcp,-,FIN,10.0,6.0,2156.0,268.0,254.0,252.0,38694.62891,4465.531738,2.0,1.0,44.588444,67.978797,2374.619526,123.890031,255.0,1591640337.0,2220548278.0,255.0,0.088026,0.033211,0.054815,216.0,45.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,5.0,1.0,0.0
9e-06,unas,-,INT,2.0,0.0,200.0,0.0,254.0,0.0,88888888.0,0.0,0.0,0.0,0.009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,7.0,2.0,4.0,3.0,3.0,7.0,0.0,0.0,0.0,6.0,7.0,0.0
30.322762,ospf,-,INT,42.0,0.0,18480.0,0.0,254.0,0.0,4759.460938,0.0,0.0,0.0,739.579562,0.0,857.77025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,440.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0
9e-06,sdrp,-,INT,2.0,0.0,200.0,0.0,254.0,0.0,88888888.0,0.0,0.0,0.0,0.009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,5.0,2.0,2.0,2.0,2.0,5.0,0.0,0.0,0.0,2.0,5.0,0.0
1e-06,idpr,-,INT,2.0,0.0,200.0,0.0,254.0,0.0,800000000.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,3.0,2.0,1.0,1.0,1.0,3.0,0.0,0.0,0.0,3.0,3.0,0.0
9e-06,udp,dns,INT,2.0,0.0,114.0,0.0,254.0,0.0,50666664.0,0.0,0.0,0.0,0.009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,0.0,0.0,0.0,23.0,2.0,16.0,16.0,16.0,23.0,0.0,0.0,0.0,17.0,23.0,0.0
9e-06,udp,-,INT,2.0,0.0,168.0,0.0,254.0,0.0,74666664.0,0.0,0.0,0.0,0.009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.0,0.0,0.0,0.0,5.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0
8e-06,sctp,-,INT,2.0,0.0,200.0,0.0,254.0,0.0,100000000.0,0.0,0.0,0.0,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,5.0,2.0,2.0,2.0,2.0,5.0,0.0,0.0,0.0,2.0,5.0,0.0
0.009949,tcp,-,FIN,36.0,38.0,2334.0,16290.0,31.0,29.0,1825309.125,12754649.0,7.0,12.0,0.275171,0.251459,16.374225,15.985684,255.0,624988389.0,625322671.0,255.0,0.000789,0.000635,0.000154,65.0,429.0,0.0,0.0,3.0,0.0,5.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,6.0,0.0
9e-06,udp,dns,INT,2.0,0.0,114.0,0.0,254.0,0.0,50666664.0,0.0,0.0,0.0,0.009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,0.0,0.0,0.0,39.0,2.0,39.0,39.0,17.0,39.0,0.0,0.0,0.0,39.0,39.0,0.0
5e-06,unas,-,INT,2.0,0.0,200.0,0.0,254.0,0.0,160000000.0,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,11.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,11.0,0.0
0.050034,tcp,-,FIN,44.0,46.0,2766.0,24004.0,31.0,29.0,432346.0,3754726.75,7.0,16.0,1.155837,1.100533,70.124746,68.759878,255.0,577900416.0,2733760675.0,255.0,0.00064,0.000507,0.000133,63.0,522.0,0.0,0.0,8.0,0.0,4.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,9.0,0.0
7e-06,udp,dns,INT,2.0,0.0,114.0,0.0,254.0,0.0,65142856.0,0.0,0.0,0.0,0.007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,0.0,0.0,0.0,14.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,14.0,0.0
1.343062,tcp,http,FIN,14.0,18.0,1684.0,10168.0,31.0,29.0,9316.025391,57206.58984,3.0,5.0,103.285695,78.970941,9884.335214,8653.829764,255.0,2315014566.0,190494500.0,255.0,0.000674,0.000553,0.000121,120.0,565.0,1.0,3924.0,3.0,0.0,1.0,2.0,1.0,2.0,0.0,0.0,1.0,2.0,1.0,0.0
8e-06,udp,dns,INT,2.0,0.0,114.0,0.0,254.0,0.0,57000000.0,0.0,0.0,0.0,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,0.0,0.0,0.0,21.0,2.0,16.0,16.0,16.0,21.0,0.0,0.0,0.0,17.0,21.0,0.0
1.171427,cbt,-,INT,4.0,0.0,360.0,0.0,254.0,0.0,1843.904907,0.0,0.0,0.0,390.475656,0.0,552.206063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,0.0,0.0,10.0,2.0,10.0,10.0,10.0,10.0,0.0,0.0,0.0,10.0,10.0,0.0
3e-06,larp,-,INT,2.0,0.0,200.0,0.0,254.0,0.0,266666656.0,0.0,0.0,0.0,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,6.0,2.0,3.0,3.0,3.0,6.0,0.0,0.0,0.0,4.0,6.0,0.0
6e-06,udp,dns,INT,2.0,0.0,114.0,0.0,254.0,0.0,76000000.0,0.0,0.0,0.0,0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,0.0,0.0,0.0,30.0,2.0,13.0,13.0,13.0,30.0,0.0,0.0,0.0,13.0,30.0,0.0
0.293809,tcp,http,FIN,10.0,6.0,566.0,268.0,254.0,252.0,13886.57227,6099.200684,2.0,1.0,28.160333,44.485398,1436.410936,56.909727,255.0,212700780.0,290850667.0,255.0,0.099152,0.071374,0.027778,57.0,45.0,1.0,0.0,7.0,1.0,2.0,2.0,1.0,8.0,0.0,0.0,1.0,4.0,7.0,0.0
3.110695,tcp,smtp,FIN,24.0,20.0,4013.0,1682.0,62.0,252.0,9891.037109,4109.692871,8.0,8.0,135.247611,155.324578,9121.747134,269.943281,255.0,232212678.0,2221480266.0,255.0,0.13912,0.089705,0.049415,167.0,84.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
0.001081,udp,dns,CON,2.0,2.0,146.0,178.0,31.0,29.0,540240.5625,658649.4375,0.0,0.0,0.009,0.007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,89.0,0.0,0.0,3.0,0.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,3.0,3.0,0.0
3e-06,udp,dns,INT,2.0,0.0,114.0,0.0,254.0,0.0,152000000.0,0.0,0.0,0.0,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,0.0,0.0,0.0,22.0,2.0,17.0,17.0,17.0,22.0,0.0,0.0,0.0,18.0,22.0,0.0
6e-06,unas,-,INT,2.0,0.0,200.0,0.0,254.0,0.0,133333328.0,0.0,0.0,0.0,0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,7.0,2.0,3.0,3.0,3.0,7.0,0.0,0.0,0.0,3.0,7.0,0.0
0.81362,tcp,ftp,FIN,52.0,54.0,2934.0,3742.0,31.0,29.0,28298.22461,36115.14063,11.0,15.0,16.26614,15.341075,1420.299277,52.916578,255.0,3225630639.0,3226660085.0,255.0,0.000679,0.00054,0.000139,56.0,69.0,0.0,0.0,1.0,0.0,3.0,1.0,1.0,4.0,1.0,1.0,0.0,2.0,1.0,0.0
3e-06,udp,dns,INT,2.0,0.0,114.0,0.0,254.0,0.0,152000000.0,0.0,0.0,0.0,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,0.0,0.0,0.0,30.0,2.0,16.0,16.0,16.0,30.0,0.0,0.0,0.0,16.0,30.0,0.0
6e-06,cphb,-,INT,2.0,0.0,200.0,0.0,254.0,0.0,133333328.0,0.0,0.0,0.0,0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,12.0,2.0,5.0,4.0,4.0,16.0,0.0,0.0,0.0,5.0,12.0,0.0
5.760576,ospf,-,REQ,8.0,0.0,2176.0,0.0,254.0,0.0,2644.180176,0.0,0.0,0.0,983.923875,0.0,1016.10575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,272.0,0.0,0.0,0.0,1.0,6.0,1.0,1.0,1.0,23.0,0.0,0.0,0.0,2.0,1.0,0.0
9e-06,sctp,-,INT,2.0,0.0,104.0,0.0,254.0,0.0,46222220.0,0.0,0.0,0.0,0.009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0
0.475909,tcp,http,FIN,10.0,6.0,866.0,268.0,254.0,252.0,13111.75098,3765.425781,2.0,1.0,49.426222,85.894,2544.83962,133.480484,255.0,191301380.0,1924311200.0,255.0,0.12618,0.046429,0.079751,87.0,45.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0
2.845948,tcp,pop3,FIN,22.0,20.0,1066.0,3410.0,62.0,252.0,2861.612305,9107.685547,7.0,8.0,135.51519,145.081,6971.753648,185.215078,255.0,4055767762.0,4131284297.0,255.0,0.175562,0.0894,0.086162,48.0,171.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
0.795991,tcp,http,FIN,10.0,10.0,796.0,1532.0,62.0,252.0,7206.111816,13859.45313,2.0,2.0,88.338333,82.422891,6262.225985,123.348914,255.0,4213148544.0,1410573321.0,255.0,0.093978,0.054175,0.039803,80.0,153.0,1.0,319.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,1.0,0.0
1.080158,tcp,http,FIN,10.0,8.0,1076.0,354.0,254.0,252.0,7176.728027,2295.960449,2.0,1.0,115.529778,140.4,6473.110494,226.308953,255.0,3046077175.0,1375859378.0,255.0,0.200534,0.097354,0.10318,108.0,44.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
0.001045,udp,dns,CON,2.0,2.0,132.0,164.0,31.0,29.0,505263.125,627751.1875,0.0,0.0,0.008,0.007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,82.0,0.0,0.0,3.0,0.0,2.0,2.0,1.0,4.0,0.0,0.0,0.0,8.0,1.0,0.0
3e-06,vrrp,-,INT,2.0,0.0,200.0,0.0,254.0,0.0,266666656.0,0.0,0.0,0.0,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,4.0,2.0,2.0,2.0,2.0,4.0,0.0,0.0,0.0,16.0,4.0,0.0
1.014938,tcp,http,FIN,14.0,18.0,1684.0,10168.0,31.0,29.0,12327.84668,75701.17969,3.0,5.0,78.044228,59.669059,8765.851594,7676.716639,255.0,3799631572.0,1651742918.0,255.0,0.000712,0.000561,0.000151,120.0,565.0,1.0,3924.0,3.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0
0.017777,tcp,-,FIN,48.0,50.0,2974.0,30506.0,31.0,29.0,1310907.375,13453789.0,7.0,18.0,0.371681,0.351551,23.156987,22.080861,255.0,3284904268.0,3285212446.0,255.0,0.000654,0.000543,0.000111,62.0,610.0,0.0,0.0,6.0,0.0,8.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,11.0,0.0
7e-06,udp,dns,INT,2.0,0.0,114.0,0.0,254.0,0.0,65142856.0,0.0,0.0,0.0,0.007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,0.0,0.0,0.0,31.0,2.0,16.0,16.0,16.0,31.0,0.0,0.0,0.0,16.0,31.0,0.0
9e-06,udp,dns,INT,2.0,0.0,114.0,0.0,254.0,0.0,50666664.0,0.0,0.0,0.0,0.009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,0.0,0.0,0.0,16.0,2.0,16.0,16.0,16.0,16.0,0.0,0.0,0.0,16.0,16.0,0.0
0.849687,tcp,smtp,FIN,66.0,26.0,65016.0,1942.0,62.0,252.0,602866.6875,17587.65234,30.0,8.0,13.072108,33.415359,1058.139961,42.831898,255.0,3952132542.0,2760625208.0,255.0,0.053318,0.007652,0.045666,985.0,75.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
0.001075,udp,dns,CON,2.0,2.0,146.0,178.0,31.0,29.0,543255.8125,662325.5625,0.0,0.0,0.009,0.007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,89.0,0.0,0.0,5.0,0.0,4.0,3.0,1.0,4.0,0.0,0.0,0.0,9.0,3.0,0.0
1.148633,tcp,http,FIN,20.0,64.0,1638.0,74404.0,62.0,252.0,10844.19434,510115.9375,3.0,30.0,60.454369,16.754937,2980.777763,1809.521216,255.0,2498523254.0,2873814987.0,255.0,0.187049,0.092443,0.094606,82.0,1163.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
2e-06,udp,dns,INT,2.0,0.0,114.0,0.0,254.0,0.0,228000000.0,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,0.0,0.0,0.0,35.0,2.0,25.0,25.0,25.0,35.0,0.0,0.0,0.0,27.0,35.0,0.0
2e-06,udp,dns,INT,2.0,0.0,114.0,0.0,254.0,0.0,228000000.0,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,0.0,0.0,0.0,33.0,2.0,33.0,33.0,17.0,33.0,0.0,0.0,0.0,33.0,33.0,0.0
3e-06,udp,dns,INT,2.0,0.0,114.0,0.0,254.0,0.0,152000000.0,0.0,0.0,0.0,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,0.0,0.0,0.0,50.0,2.0,50.0,50.0,28.0,50.0,0.0,0.0,0.0,50.0,50.0,0.0
7e-06,udp,dns,INT,2.0,0.0,114.0,0.0,254.0,0.0,65142856.0,0.0,0.0,0.0,0.007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,0.0,0.0,0.0,28.0,2.0,28.0,28.0,16.0,28.0,0.0,0.0,0.0,28.0,28.0,0.0
7.622637,tcp,http,FIN,76.0,358.0,3770.0,474851.0,62.0,252.0,3905.210449,496967.125,2.0,177.0,101.635024,21.074872,4948.582425,2423.221489,255.0,3551327932.0,3227371624.0,255.0,0.256003,0.098905,0.157098,50.0,1326.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0
8e-06,udp,dns,INT,2.0,0.0,114.0,0.0,254.0,0.0,57000000.0,0.0,0.0,0.0,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,0.0,0.0,0.0,30.0,2.0,30.0,30.0,17.0,30.0,0.0,0.0,0.0,30.0,30.0,0.0
0.787685,tcp,smtp,FIN,34.0,22.0,22085.0,1796.0,62.0,252.0,217711.4063,17418.13086,14.0,8.0,23.869242,36.359047,1482.233247,43.312883,255.0,890108410.0,3785525757.0,255.0,0.058155,0.012793,0.045362,650.0,82.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
0.450643,tcp,-,FIN,10.0,6.0,486.0,268.0,254.0,252.0,7775.556152,3976.540283,2.0,1.0,45.927667,77.535,2343.387522,102.431461,255.0,1525551390.0,670252017.0,255.0,0.105679,0.06296,0.042719,49.0,45.0,0.0,0.0,5.0,1.0,1.0,1.0,1.0,3.0,0.0,0.0,0.0,1.0,3.0,0.0
0.032879,tcp,-,FIN,16.0,18.0,1540.0,1644.0,31.0,29.0,351348.9063,377870.375,4.0,4.0,2.169867,1.906412,146.738796,3.621908,255.0,63330817.0,2218446890.0,255.0,0.000595,0.000463,0.000132,96.0,91.0,0.0,0.0,15.0,0.0,6.0,6.0,1.0,6.0,0.0,0.0,0.0,10.0,10.0,0.0
8e-06,udp,dns,INT,2.0,0.0,114.0,0.0,254.0,0.0,57000000.0,0.0,0.0,0.0,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,0.0,0.0,0.0,25.0,2.0,25.0,25.0,25.0,28.0,0.0,0.0,0.0,27.0,25.0,0.0
0.468496,tcp,-,FIN,10.0,6.0,660.0,268.0,254.0,252.0,10143.09668,3825.006104,2.0,1.0,48.558,76.588797,2847.804296,110.099641,255.0,3731622854.0,3976578234.0,255.0,0.128175,0.085544,0.042631,66.0,45.0,0.0,0.0,7.0,1.0,1.0,1.0,1.0,8.0,0.0,0.0,0.0,1.0,7.0,0.0
5e-06,udp,-,INT,2.0,0.0,168.0,0.0,254.0,0.0,134400000.0,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
3e-06,udp,dns,INT,2.0,0.0,114.0,0.0,254.0,0.0,152000000.0,0.0,0.0,0.0,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,0.0,0.0,0.0,33.0,2.0,18.0,17.0,17.0,33.0,0.0,0.0,0.0,17.0,33.0,0.0
9e-06,udp,dns,INT,2.0,0.0,114.0,0.0,254.0,0.0,50666664.0,0.0,0.0,0.0,0.009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,0.0,0.0,0.0,25.0,2.0,27.0,25.0,25.0,28.0,0.0,0.0,0.0,26.0,25.0,0.0
12.332178,tcp,http,FIN,278.0,1812.0,12378.0,2425476.0,62.0,252.0,8001.181641,1572561.125,2.0,904.0,44.520498,6.773013,2169.713669,843.676299,255.0,1379890023.0,3491885685.0,255.0,0.136307,0.065316,0.070991,45.0,1339.0,1.0,1176137.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0
1.097188,tcp,-,FIN,12.0,8.0,982.0,756.0,254.0,252.0,6569.521484,4826.884766,3.0,2.0,97.231361,143.444859,4768.342444,196.860312,255.0,4138182485.0,4007344617.0,255.0,0.247203,0.093067,0.154136,82.0,95.0,0.0,0.0,9.0,1.0,1.0,2.0,1.0,4.0,0.0,0.0,0.0,2.0,4.0,0.0
1.004868,tcp,http,FIN,14.0,18.0,1684.0,10168.0,31.0,29.0,12451.38672,76459.78906,3.0,4.0,77.271921,59.066997,8765.336909,7674.473869,255.0,4218512360.0,2069959814.0,255.0,0.000873,0.000725,0.000148,120.0,565.0,2.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,1.0,0.0
0.016026,tcp,-,FIN,42.0,34.0,3022.0,17186.0,31.0,29.0,1473106.25,8326969.0,8.0,11.0,0.390878,0.464242,24.539304,0.629551,255.0,876885924.0,877178163.0,255.0,0.000729,0.000562,0.000167,72.0,505.0,0.0,0.0,3.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,8.0,0.0
3.686504,tcp,smtp,FIN,64.0,30.0,63952.0,2286.0,62.0,252.0,136612.9063,4795.871582,29.0,8.0,58.515937,123.476516,5186.770385,181.746516,255.0,836189024.0,3364849635.0,255.0,0.186379,0.105033,0.081346,999.0,76.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
0.667368,tcp,-,FIN,10.0,8.0,564.0,354.0,254.0,252.0,6089.59375,3716.09082,2.0,1.0,74.152,93.739141,5450.195183,136.591312,255.0,2781332383.0,4013544591.0,255.0,0.016439,0.010495,0.005944,56.0,44.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0
0.358859,tcp,http,FIN,10.0,8.0,1210.0,3254.0,62.0,252.0,24276.94336,63490.11719,2.0,2.0,39.796778,45.184855,1969.955512,64.676094,255.0,3372738001.0,48042373.0,255.0,0.093472,0.042564,0.050908,121.0,407.0,1.0,1071.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0
3e-06,udp,dns,INT,2.0,0.0,114.0,0.0,254.0,0.0,152000000.0,0.0,0.0,0.0,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,0.0,0.0,0.0,32.0,2.0,18.0,16.0,16.0,32.0,0.0,0.0,0.0,16.0,32.0,0.0
5e-06,udp,dns,INT,2.0,0.0,114.0,0.0,254.0,0.0,91200000.0,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,0.0,0.0,0.0,23.0,2.0,19.0,19.0,13.0,23.0,0.0,0.0,0.0,19.0,23.0,0.0
0.0,arp,-,INT,1.0,0.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60001.26,0.0,10.954566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0
0.000919,udp,dns,CON,2.0,2.0,130.0,162.0,31.0,29.0,565832.4375,705114.25,0.0,0.0,0.001,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,81.0,0.0,0.0,2.0,0.0,3.0,2.0,1.0,5.0,0.0,0.0,0.0,3.0,4.0,0.0
5e-06,micp,-,INT,2.0,0.0,200.0,0.0,254.0,0.0,160000000.0,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,6.0,2.0,3.0,3.0,3.0,6.0,0.0,0.0,0.0,4.0,6.0,0.0
9e-06,unas,-,INT,2.0,0.0,200.0,0.0,254.0,0.0,88888888.0,0.0,0.0,0.0,0.009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,8.0,2.0,4.0,2.0,2.0,13.0,0.0,0.0,0.0,4.0,8.0,0.0
6e-06,udp,dns,INT,2.0,0.0,114.0,0.0,254.0,0.0,76000000.0,0.0,0.0,0.0,0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,0.0,0.0,0.0,16.0,2.0,15.0,14.0,14.0,16.0,0.0,0.0,0.0,14.0,16.0,0.0
