feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,feature10,feature11,feature12,feature13,feature14,feature15,feature16,feature17,feature18,feature19,feature20,label
1,7.452242,4,0,1188.761214,0,4,2,2,2,1,0,55.332566,2,1,0,1,1.0,1,1,0
0,12.335658,4,2,2582.993119,0,4,3,2,0,0,0,26.897355,1,1,1,2,1.0,0,1,0
0,38.379949,1,7,9145.579222,0,4,3,1,0,3,3,29.725957,0,0,1,2,1.0,1,1,1
1,35.763666,4,4,7447.851351,0,2,2,2,0,1,3,24.339174,1,1,1,2,1.0,0,1,0
3,23.002422,4,3,2471.393265,1,3,1,1,1,1,0,37.487119,1,1,1,2,1.0,1,1,0
3,23.176932,2,6,2068.848222,3,2,2,1,0,1,2,27.402327,1,1,0,2,1.0,1,1,0
2,49.275441,2,3,10616.268974,4,4,1,1,0,3,2,27.418434,1,1,0,2,1.0,0,0,0
1,24.714125,4,1,2523.073123,4,4,1,2,0,1,0,26.55377,1,1,0,2,1.0,0,1,0
3,25.012931,3,4,3916.007328,0,2,2,3,0,1,0,22.574064,0,1,1,2,1.0,1,1,0
0,34.316555,2,0,9026.524516,0,4,1,2,1,1,3,37.595293,1,2,0,2,1.0,1,1,0
1,12.123719,4,4,2130.648299,0,2,2,2,0,1,2,29.313351,0,1,0,3,1.0,1,1,0
3,37.314014,0,10,3826.999177,0,3,1,1,0,1,2,25.603539,2,1,1,1,1.0,0,1,1
0,24.092289,1,0,2644.870462,0,3,3,2,0,3,3,31.452495,2,2,0,2,1.0,0,1,0
1,12.102292,2,4,1815.505214,4,0,3,2,0,3,0,50.521355,1,1,0,2,1.0,0,1,0
0,15.956221,4,3,5479.960195,0,4,2,2,0,3,0,41.213524,1,0,0,2,2.0,0,1,1
3,20.185453,4,4,1856.157564,0,3,3,0,0,3,0,27.618722,1,1,0,2,1.0,1,1,0
1,4.597036,2,10,1058.630645,4,3,3,1,0,2,2,29.656061,1,1,0,2,1.0,1,1,0
3,19.033584,4,10,2998.474623,4,4,0,0,0,3,1,31.098246,1,0,1,2,2.0,1,1,0
0,23.997561,3,4,9215.425285,0,2,0,1,0,1,2,24.32553,2,1,0,2,1.0,1,1,0
1,5.709041,2,1,2045.605228,0,4,0,2,0,3,2,40.396305,1,1,0,2,2.0,0,1,0
3,23.641804,4,3,4414.156163,0,2,3,3,1,1,1,28.469765,1,1,1,1,1.0,1,1,0
1,16.315767,4,1,960.847366,0,2,3,2,0,1,0,24.948215,1,1,0,2,2.0,0,1,0
0,34.591345,2,6,8584.46483,4,4,1,2,0,2,1,35.277452,1,0,0,2,2.0,1,1,1
3,24.995566,2,0,2045.696077,4,1,0,2,0,1,2,25.837222,1,0,0,2,1.0,1,1,0
3,16.375068,4,4,2424.489836,4,2,1,2,0,1,2,33.698934,1,1,1,2,1.0,0,1,0
0,11.465963,3,4,669.586094,4,0,3,1,0,1,1,53.241305,1,1,1,3,1.0,1,1,0
3,12.234478,2,1,1602.967845,4,4,2,1,0,3,0,58.126692,1,1,0,3,1.0,1,1,1
3,16.714298,0,3,2138.685536,4,1,2,2,0,2,0,41.783087,0,1,0,0,2.0,0,1,0
1,8.085515,4,3,1190.907852,2,1,2,2,0,0,1,27.765581,0,0,0,1,1.0,1,1,0
3,16.696366,2,0,1584.016252,4,4,3,3,2,3,0,29.147576,1,1,0,2,1.0,1,1,0
2,45.409709,4,1,5788.148048,0,2,1,1,0,3,0,42.792634,1,1,1,1,1.0,0,1,0
0,47.94721,2,4,4592.145596,0,1,1,1,0,3,0,30.120696,1,0,0,2,1.0,0,1,0
3,15.444547,1,4,4439.454239,0,1,1,1,0,1,3,23.273065,2,1,1,2,1.0,0,1,0
2,22.434339,3,4,3506.894196,4,2,3,2,0,2,3,31.185268,0,1,1,2,1.0,0,1,0
0,9.815816,2,0,798.321592,0,2,0,2,0,0,3,29.461251,1,2,0,1,1.0,1,1,0
3,6.573896,4,7,2442.252531,0,4,2,2,1,3,1,54.87767,1,0,1,2,2.0,0,1,0
3,12.077649,4,4,2353.766198,2,0,1,0,0,2,0,30.778361,1,1,1,3,1.0,1,1,0
0,7.628052,2,10,1008.385057,4,3,3,2,0,2,0,23.968675,1,1,0,2,1.0,0,1,0
1,6.924347,2,4,2138.40041,0,2,1,2,0,2,0,33.134005,1,1,0,1,1.0,0,1,0
1,24.433364,3,3,6812.915946,4,3,2,1,0,2,3,44.350812,1,2,1,2,1.0,0,1,0
2,12.43193,2,4,2196.269249,3,2,2,2,0,3,2,25.753104,1,1,0,2,1.0,0,1,0
1,23.150766,2,3,4562.261897,1,1,2,1,0,2,2,23.204945,1,1,0,0,1.0,0,0,1
1,33.041869,4,7,4391.439196,4,4,3,1,0,1,0,42.285598,1,1,1,2,1.0,0,1,0
0,51.465659,2,1,3550.196653,0,3,3,3,0,1,2,28.485832,1,1,0,1,1.0,0,1,0
1,44.218195,1,4,9496.284809,0,4,3,2,2,3,0,41.397366,1,1,0,2,2.0,0,1,1
3,18.391128,2,0,1321.538197,0,2,2,2,0,1,1,24.261919,1,1,0,0,1.0,0,1,0
0,23.89903,0,10,9464.139817,0,3,1,2,0,2,2,27.487109,1,1,0,2,1.0,0,1,0
1,10.070049,4,10,3014.454112,0,4,0,3,0,3,2,37.284347,1,1,1,2,1.0,0,1,0
0,24.040355,2,10,3709.442914,4,3,1,2,0,3,2,31.776583,1,1,1,1,1.0,0,1,0
1,9.547466,1,0,7745.821956,0,3,0,2,0,3,3,32.880345,0,0,0,2,1.0,1,1,0
1,22.756704,0,10,1074.785265,1,2,3,1,0,3,2,32.278837,1,1,1,2,1.0,1,1,0
3,12.09952,4,0,818.67883,0,4,3,2,0,3,2,33.938905,1,1,1,2,1.0,1,1,0
0,17.361399,2,3,4755.287214,4,4,2,2,2,3,1,54.821428,1,1,0,2,2.0,0,0,0
2,12.016261,2,4,2154.559359,0,4,1,3,0,3,2,29.445804,1,1,0,1,1.0,0,1,0
2,22.728181,3,4,2338.614828,0,2,2,0,0,3,3,20.918401,1,2,0,1,1.0,0,1,0
0,12.071606,2,10,959.756359,0,4,3,2,2,1,0,40.776258,1,1,0,2,1.0,0,1,1
0,39.081933,3,4,3494.914461,4,0,3,0,0,1,2,27.352267,1,1,1,3,1.0,1,1,0
0,20.186555,2,0,2772.501209,0,2,3,1,0,3,2,51.000212,0,1,0,1,2.0,0,1,1
3,15.483256,2,1,1466.689422,0,4,3,0,0,3,1,50.863453,1,1,0,2,1.0,1,1,0
0,16.779234,2,10,1465.361806,0,0,3,2,0,1,2,38.908149,1,1,0,0,1.0,0,1,1
1,11.817228,2,0,9492.845822,0,2,2,1,0,1,2,37.880504,1,1,1,2,1.0,0,1,1
1,16.876605,4,7,5431.175847,4,2,1,1,0,2,2,21.894077,1,1,1,2,1.0,0,0,0
0,42.335819,3,4,3605.936486,0,4,1,1,0,2,3,37.169176,1,2,1,2,1.0,0,1,0
2,23.236291,2,1,3749.962878,0,2,1,2,0,1,1,30.372514,1,1,0,1,1.0,0,1,0
3,12.217239,3,4,2859.187082,4,1,3,2,0,0,0,43.630635,1,1,1,2,1.0,1,1,0
3,22.996625,2,4,3838.285753,0,3,1,2,0,2,1,36.390234,1,0,0,2,2.0,1,1,0
1,35.271537,0,0,3754.100712,3,1,1,1,2,2,1,23.438617,1,1,1,1,1.0,0,1,0
3,24.327937,2,0,2076.54656,0,2,1,1,0,1,0,23.770696,1,1,0,3,1.0,1,1,0
3,49.67438,2,4,6869.071113,0,2,3,2,0,3,2,33.278482,1,1,0,2,1.0,0,1,1
3,24.190976,3,4,4604.727034,0,3,3,2,2,0,0,38.696572,1,0,0,3,1.0,1,1,0
3,37.671146,2,3,10507.905766,0,2,2,0,0,3,2,32.801497,1,0,0,2,1.0,1,1,0
3,6.873037,2,3,2388.756283,0,2,1,1,0,3,1,24.764062,1,1,0,2,1.0,1,1,0
1,37.428787,2,9,3829.157112,0,0,3,2,0,1,0,32.299832,1,0,0,3,1.0,1,1,0
0,10.760458,4,4,1623.563612,4,2,2,2,0,2,2,34.533804,1,1,1,2,2.0,0,1,1
0,20.836285,4,0,1452.751521,0,1,3,2,2,2,1,29.239002,0,1,1,2,1.0,0,1,0
3,6.655385,4,4,745.746295,0,2,3,2,0,3,1,23.342775,1,1,1,1,1.0,0,1,0
0,12.937372,3,4,1476.961613,0,4,1,1,2,1,0,54.604988,2,2,1,2,1.0,0,1,0
0,11.687001,3,3,2123.142272,0,1,1,2,2,2,3,35.311699,1,1,1,3,1.0,0,1,1
0,5.446844,2,4,1041.180788,0,4,2,2,0,0,1,53.277398,0,1,0,1,1.0,0,1,0
3,12.509882,2,4,483.039233,2,2,3,2,0,0,2,23.910365,1,1,0,2,1.0,0,1,0
1,34.73094,2,0,10836.152676,1,4,3,0,0,2,2,52.317752,1,1,0,2,1.0,1,1,1
0,13.516403,4,1,1337.758091,0,2,2,1,0,1,0,32.938538,1,1,0,2,1.0,1,1,0
3,17.456414,2,3,1425.694538,0,4,3,1,0,3,0,22.256327,1,1,0,2,1.0,1,1,0
3,12.735128,2,10,1965.500181,2,2,0,2,0,1,3,28.459687,1,1,0,2,1.0,1,1,0
1,48.946557,2,0,1748.408956,3,2,3,1,0,3,2,23.672926,1,1,0,2,1.0,0,1,1
0,16.347622,3,3,2300.608974,0,2,3,3,0,3,0,28.046381,1,1,0,2,1.0,0,1,0
3,12.314683,4,4,1294.054678,0,2,1,2,1,3,1,58.493941,1,1,2,2,1.0,0,1,0
3,9.039113,1,4,644.214575,4,2,3,2,0,3,1,34.305188,0,1,0,2,1.0,1,1,0
3,5.367194,2,3,3653.401787,0,0,1,1,0,3,2,54.399247,1,1,0,3,1.0,1,1,1
1,8.399164,2,1,1320.601733,0,0,0,1,1,2,1,26.691745,1,1,0,2,1.0,0,1,0
3,19.405552,2,4,540.818714,4,2,1,1,0,2,0,55.059862,1,1,0,1,1.0,0,1,1
1,7.22999,4,4,4832.928747,2,1,2,3,0,0,0,46.525729,0,0,2,2,1.0,0,1,0
0,34.419294,2,4,2707.103766,0,1,1,1,0,0,1,48.101808,1,1,1,2,1.0,1,1,0
1,37.596039,4,7,9841.969776,0,1,3,1,0,0,3,39.699165,1,0,1,1,1.0,0,1,0
1,39.288861,2,4,12110.737655,0,4,1,1,0,3,2,47.511904,1,1,0,2,1.0,0,1,0
0,11.763531,3,0,4486.34692,0,1,3,2,0,3,2,32.512929,1,1,1,0,1.0,1,1,0
3,24.975578,0,10,13521.509156,4,2,1,2,0,1,2,47.957558,1,1,3,2,1.0,1,1,0
3,21.48264,2,3,865.89689,1,2,2,2,0,2,2,24.256934,0,1,0,1,1.0,1,1,1
3,18.878712,4,4,2173.094055,0,2,3,2,0,1,0,19.535223,1,0,1,2,2.0,0,1,0
3,16.086123,2,4,1118.4683,4,2,3,2,0,3,0,42.879296,0,1,0,2,1.0,0,1,0
0,18.064703,3,3,553.728159,0,2,3,1,0,3,1,21.988581,1,0,1,2,1.0,0,1,0
0,11.854215,2,3,898.284799,0,2,3,1,0,1,1,22.42793,1,0,0,2,1.0,0,1,0
0,11.760524,3,10,546.776906,0,4,2,2,0,1,2,65.682934,1,1,0,1,2.0,0,1,1
3,17.464504,3,0,1357.149658,4,3,2,2,0,2,2,38.797417,1,1,1,2,1.0,0,1,0
1,19.302191,4,4,4401.955772,0,2,1,3,0,3,1,25.933843,0,1,1,2,1.0,0,1,0
2,24.570129,2,10,3752.762262,3,2,3,2,0,1,1,32.08998,1,1,0,2,1.0,0,1,1
3,10.948946,4,3,726.741684,4,2,1,1,0,3,0,26.243351,1,0,1,2,1.0,1,1,0
3,8.658273,2,4,2777.855423,4,2,1,2,0,2,0,20.814488,1,1,0,2,1.0,0,1,0
1,12.41447,2,3,1302.4851,4,4,1,3,0,0,0,33.750185,1,1,0,2,1.0,1,1,0
3,52.841913,2,0,6691.600027,0,4,1,2,0,1,3,46.790607,1,2,0,2,1.0,1,1,1
1,45.880555,4,4,9393.114544,0,3,1,2,0,2,2,33.136326,1,1,0,1,1.0,0,1,1
3,25.086045,4,4,1456.967182,3,2,3,2,0,3,2,28.636046,1,1,1,2,1.0,1,1,0
3,23.81965,2,0,2470.656232,0,2,3,2,0,2,2,40.826139,1,1,0,2,1.0,1,1,0
3,18.904343,2,4,2175.133833,4,2,3,2,0,1,1,32.871067,1,1,0,1,1.0,1,1,0
0,31.174988,4,5,8405.998992,0,1,3,0,0,3,1,40.640128,1,1,1,2,1.0,0,1,0
0,35.109999,4,5,7592.758367,0,3,1,2,0,1,1,32.72551,1,1,1,2,1.0,0,1,0
2,12.116998,4,3,1478.417029,2,3,3,1,0,3,0,30.172576,1,1,1,3,1.0,1,1,0
2,24.269645,4,4,1619.240111,4,2,3,0,0,3,2,32.250494,1,0,1,2,1.0,1,1,0
0,24.044775,2,3,7892.024621,0,0,2,0,1,0,2,32.68306,1,0,0,3,1.0,1,1,0
1,12.108363,4,10,5188.114789,4,1,0,2,0,2,1,37.587419,1,1,0,2,1.0,1,1,1
3,12.548772,0,5,706.010991,4,2,3,2,0,0,0,42.153702,1,1,1,2,1.0,1,1,0
0,8.031415,2,4,1229.609926,0,2,3,0,0,1,0,41.156988,1,1,0,0,1.0,0,1,0
0,8.722339,1,4,766.427856,0,3,3,2,0,3,0,59.965155,1,1,0,1,2.0,0,1,0
3,39.0759,2,10,3825.805007,0,2,3,2,0,0,3,41.143913,1,0,0,1,1.0,0,1,0
3,24.383452,2,3,2403.361697,0,0,3,2,0,2,1,58.124418,1,1,0,0,2.0,1,1,0
0,7.797377,2,4,3637.512885,0,2,0,2,0,1,0,27.864376,1,0,0,1,2.0,0,1,0
1,54.789103,4,3,2564.276757,1,2,3,2,2,3,2,32.526573,1,1,1,2,1.0,1,1,0
1,12.649623,4,10,707.801634,2,4,2,2,0,3,3,43.442262,1,2,0,2,1.0,0,1,0
0,14.863371,2,0,3734.25183,0,0,0,1,0,1,0,30.468584,1,1,0,0,1.0,0,1,1
3,25.559166,2,4,2770.082547,2,4,3,2,1,3,0,36.663757,1,1,1,2,1.0,0,0,0
1,22.014368,0,0,832.678858,0,2,3,2,0,2,0,22.714104,1,1,1,1,2.0,0,1,0
3,11.894895,2,4,788.535986,2,3,3,2,0,2,1,26.776127,1,1,0,1,1.0,0,1,1
1,23.918719,4,1,6318.436704,0,4,2,3,0,1,2,35.735916,1,1,0,1,1.0,0,1,0
2,20.740498,2,0,3421.507602,4,4,0,1,0,3,1,45.817371,1,1,0,2,1.0,0,1,1
0,7.932031,2,3,11837.59124,0,2,2,2,0,1,1,29.390895,1,1,0,2,2.0,0,1,1
1,23.846667,2,10,7783.531007,0,2,3,2,0,2,2,35.800361,1,1,0,2,1.0,0,1,1
3,24.491037,2,2,2816.372735,0,2,3,2,0,1,2,40.986966,1,1,0,2,1.0,0,1,0
0,10.366567,2,1,1172.311705,4,4,0,2,0,3,2,37.879145,1,0,0,3,2.0,1,1,0
0,46.692732,3,1,4189.295191,0,2,3,1,0,3,0,32.966627,1,2,0,2,1.0,0,1,0
3,53.777076,2,3,4252.301558,0,1,3,2,2,3,1,50.232973,1,0,0,2,2.0,0,1,0
3,17.459292,2,10,3302.749089,0,4,0,2,2,3,0,60.201206,1,1,0,3,1.0,1,1,0
0,12.587138,2,4,2410.754964,0,1,1,1,0,2,2,32.271925,1,1,0,2,1.0,0,1,0
0,41.267986,2,3,11988.682098,0,2,3,1,0,3,3,32.966603,1,2,0,3,1.0,1,1,1
3,7.466841,4,3,4127.069671,2,1,0,2,0,0,0,25.29672,1,1,1,1,1.0,0,1,0
3,5.894742,3,9,680.94991,1,4,0,2,0,3,0,56.095804,0,1,0,3,1.0,1,1,0
3,12.463649,3,10,675.952567,4,0,3,2,0,3,0,40.177895,1,1,1,2,1.0,0,1,0
0,24.748926,4,3,10140.369347,0,3,1,1,0,3,3,37.540565,1,2,0,2,1.0,1,1,0
3,23.15583,2,10,3821.397132,1,2,2,3,2,2,0,22.848385,1,1,0,2,1.0,1,1,0
0,12.467774,2,0,10440.342901,0,2,1,1,0,1,1,23.178403,1,1,0,1,1.0,0,1,0
0,25.512044,2,4,2404.211691,0,2,3,1,0,2,0,21.058977,1,0,0,3,1.0,1,1,0
1,12.08175,4,0,1849.262438,1,2,3,2,0,3,2,33.32504,1,1,2,1,2.0,0,1,0
3,11.96133,3,10,1680.374564,4,0,1,1,0,3,1,46.805463,1,1,1,0,1.0,0,1,0
0,20.32376,0,1,2522.274503,0,2,3,2,0,3,2,35.271166,1,1,2,3,1.0,1,1,1
3,39.597062,2,3,11271.127793,4,0,1,2,0,1,0,24.774512,0,1,3,2,1.0,0,1,0
3,19.625288,4,1,3261.753901,0,2,0,3,0,1,1,22.152015,1,1,1,1,1.0,1,1,0
3,41.187185,2,7,3568.111725,4,1,3,1,0,1,1,27.952079,1,1,1,2,1.0,0,1,1
0,23.539258,4,3,8449.167074,0,4,3,1,2,3,1,54.478003,1,0,1,3,1.0,0,1,0
3,10.159662,4,1,1912.001183,0,4,1,0,0,3,2,61.699053,1,1,0,2,1.0,0,1,0
0,45.377267,2,10,3540.898856,1,3,2,0,0,2,1,64.082571,1,1,0,3,1.0,0,1,1
0,17.588652,3,4,3330.255393,0,2,2,2,0,2,2,23.251304,0,1,0,2,2.0,0,0,1
1,9.297871,4,3,1238.332022,0,2,3,3,0,1,1,24.934329,1,1,0,2,1.0,0,0,0
0,5.626974,2,3,1460.429988,0,0,3,3,2,3,1,27.71438,1,1,0,0,1.0,1,1,1
3,47.635007,2,0,6437.264273,0,4,0,2,0,3,0,33.002788,1,1,0,2,1.0,1,1,0
1,7.699121,4,10,1693.504367,0,3,3,2,0,1,2,27.987493,1,1,0,3,1.0,1,1,0
1,6.144837,4,4,2459.213,0,2,1,2,0,1,2,26.75056,1,1,0,2,1.0,1,1,0
1,17.693045,2,7,5788.102342,0,2,1,2,0,1,3,28.55097,1,2,1,2,2.0,0,1,1
3,17.41093,2,1,720.246983,0,2,3,2,0,1,1,25.175423,2,1,0,2,1.0,0,1,0
3,12.356746,2,4,2966.001992,4,2,0,2,0,3,2,28.425997,0,1,0,2,1.0,0,1,0
0,22.86906,2,3,4242.947342,0,2,2,1,0,1,1,41.580805,1,1,0,2,2.0,0,1,0
